model,n_obs,r_squared,adj_r_squared,f_stat,f_p_value,AIC,BIC
M1_H9_H15_CAR_ANN,27,0.06520609648007292,-0.012693395479920877,0.8297454493278319,0.44828940561070346,-97.48554451359496,-93.59803391558196
M2_H14_H16_CAR_ANN,54,0.19652110554400026,0.11282538737150027,1.848939249737943,0.12113345370653728,-217.5390688221873,-205.60516454280165
M3_H10_13_CAR_ANN,125,0.0011981410484120936,-0.006922199268267315,13.418761681203328,5.351780729172031e-06,-473.0903913526623,-467.43376387805773
M4_H17_CAR_ANN,125,0.0002461156146162935,-0.007881964746240477,0.03166054266223969,0.8590674446760924,-472.97130216676146,-467.31467469215687
M1_CLOSE,23,0.0034847542101780205,-0.09616677036880428,0.022804008268009594,0.9774794145878293,-67.42530352642436,-64.01882087863692
M2_CLOSE,49,0.15454863881515712,0.056240341002966154,0.4519975259724804,0.8094780797467639,-132.27345446967442,-120.92253268101067
