model,term,coef,std_err,t_stat,p_value,conf_int_low,conf_int_high
M1_H9_H15_CAR_ANN,const,0.01178642454012233,0.06869938635737871,0.17156520844027015,0.8637793614642862,-0.12286189848034229,0.14643474756058694
M1_H9_H15_CAR_ANN,log_DealSize_bln,0.004604906361009442,0.004544503748231464,1.013291355035516,0.3109210155690201,-0.0043021573131315095,0.013511970035150393
M1_H9_H15_CAR_ANN,log_MarketCap_bln,0.001875823417984322,0.007919410210140814,0.23686403004889528,0.8127622758280175,-0.013645935372690456,0.0173975822086591
M2_H14_H16_CAR_ANN,const,0.008624280556172153,0.19862048837161556,0.04342090096987513,0.9653660168473857,-0.38066472324395095,0.39791328435629525
M2_H14_H16_CAR_ANN,ANN_ROE,-0.0013778743307978477,0.0009392664626496272,-1.4669685180826408,0.14238461963180887,-0.003218802769477453,0.0004630541078817574
M2_H14_H16_CAR_ANN,ANN_ROA,0.0025214135681131586,0.009756684795449947,0.25842933547356434,0.7960755788884353,-0.01660133723947828,0.021644164375704596
M2_H14_H16_CAR_ANN,ANN_P_B,0.0015494071860065414,0.00877231291424287,0.17662470561109359,0.8598031869050684,-0.015644010187025086,0.01874282455903817
M2_H14_H16_CAR_ANN,ANN_P_E,0.00012556182796781405,0.0008696557876262617,0.14438106404205842,0.8851995688380431,-0.001578932194726473,0.001830055850662101
M2_H14_H16_CAR_ANN,log_TotalAssets,0.0012332223257199748,0.01575499513044992,0.07827500519733625,0.9376092994105291,-0.029646000706565798,0.032112445358005746
M3_H10_13_CAR_ANN,const,0.0002015723056870609,0.0016235317938565331,0.12415667278572143,0.9011912268395513,-0.0029804915380274516,0.0033836361494015733
M3_H10_13_CAR_ANN,dt_unknown,0.00020157230568706083,0.001623531793856532,0.12415667278572146,0.9011912268395513,-0.0029804915380274495,0.003383636149401571
M1_CLOSE,const,0.038156874047853576,0.0948273459245467,0.40238260046015284,0.6874024731975807,-0.147701308713779,0.2240150568094862
M1_CLOSE,log_DealSize_bln,-0.0009412242690369876,0.008598048407283952,-0.1094695242980508,0.9128300925603146,-0.01779308948464551,0.015910640946571533
M1_CLOSE,log_MarketCap_bln,-0.002382202965160553,0.011153954640231003,-0.21357474026012505,0.8308786992402508,-0.024243552345206733,0.01947914641488563
M2_CLOSE,const,0.15946772031236903,0.6275697732304255,0.2541035708133398,0.7994155447845328,-1.0705464330052339,1.389481873629972
M2_CLOSE,ANN_ROE,0.004036809127117343,0.003517771895604014,1.147547153970371,0.25115555637489306,-0.002857897094093719,0.010931515348328405
M2_CLOSE,ANN_ROA,-0.014495008440895085,0.031826450542855704,-0.45543905128147805,0.648793406195812,-0.07687370526063751,0.04788368837884735
M2_CLOSE,ANN_P_B,-0.011071510233339498,0.014642771483274789,-0.756107561057383,0.4495847090275822,-0.03977081497440823,0.017627794507729236
M2_CLOSE,ANN_P_E,0.001214538650273006,0.0025165316335925433,0.48262403462783354,0.629362710405318,-0.0037177727175241263,0.006146850018070138
M2_CLOSE,log_TotalAssets,-0.017921940305668453,0.04946526156136661,-0.3623136670051667,0.7171176462086746,-0.11487207145180053,0.07902819084046361
