Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Яндекс,YDEX,Яндекс Банк (Банк Акрополь),29.04.2021,11:26,16.07.2021,19:37,Завершена,"14,70","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2021,,4.2021,16.07.2021,29.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-29,11:26,2021-07-16,2021-04-29,0.0,2021-04-29,2021-04-29T11:15:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.042986+03:00,2021-07-16,51,Яндекс,яндекс,YDEX,YDEX,Яндекс Банк (Банк Акрополь),яндекс банк банк акрополь,2021-04-29,2021-07-16,2021-07-16,2021-04-29,11:26,19:37,14.7,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,ГК Национальная факторинговая компания (НФК),13.05.2021,22:31,14.05.2021,12:49,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2021,,5.2021,20.07.2021,14.05.2021,Финансы / Инвестиции / Страхование / Консалтинг,"Молдова, Россия",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-05-13,22:31,2021-07-20,2021-05-14,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.048274+03:00,2021-05-14,52,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,ГК Национальная факторинговая компания (НФК),гк национальная факторинговая компания нфк,2021-05-13,2021-05-14,2021-07-20,2021-05-14,22:31,12:49,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,АМК Фарма,29.06.2021,,28.05.2021,00:00,Завершена,,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.815248,,4.307931,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-29,,2021-05-31,2021-06-29,0.0,2021-06-29,2021-06-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.049898+03:00,2021-05-28,53,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,АМК Фарма,амк фарма,2021-06-29,2021-05-28,2021-05-31,2021-06-29,,00:00,,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Сбер (Сбербанк),SBER,Регионы Финанс,29.06.2021,,28.05.2021,00:00,Завершена,,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.815248,,4.307931,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-29,,2021-05-31,2021-06-29,0.0,2021-06-29,2021-06-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.053834+03:00,2021-05-28,54,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Регионы Финанс,регионы финанс,2021-06-29,2021-05-28,2021-05-31,2021-06-29,,00:00,,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,29.06.2021,,04.05.2021,11:11,Завершена,,"25,01%",Консолидация,Рыночная,Вертикальная,Внутренняя,5.2021,,,04.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-06-29,,2021-05-04,2021-06-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.054669+03:00,2021-05-04,55,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Септем Капитал / Yango. Доходчивые вложения,септем капитал yango доходчивые вложения,2021-06-29,2021-05-04,2021-05-04,2021-06-29,,11:11,,25.01,Завершена,Консолидация,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Управляющая компания (УК) Восточный Капитал,29.06.2021,,14.04.2021,,Завершена,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-06-29,,2021-05-31,2021-06-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.055342+03:00,2021-04-14,56,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Управляющая компания (УК) Восточный Капитал,управляющая компания ук восточный капитал,2021-06-29,2021-04-14,2021-05-31,2021-06-29,,,,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
OZON.ru,OZON,ОНЕЙ БАНК,13.04.2021,09:30,26.05.2021,23:34,Завершена,"8,80","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,5.2021,,4.2021,27.05.2021,13.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Услуги / торговля,Россия,58.298729,,53.917663,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_before_open_same_day_open,,1,OZON,МКПАО Озон,TQBR,75e003c2-ca14-4980-8d7b-e82ec6b6ffe1,TCS80A10CW95,0,2021-04-13,09:30,2021-05-27,2021-04-13,1.0,2021-04-13,2021-04-13T09:45:00+03:00,release_before_open_same_day_open,3.12.9,2026-03-29T18:04:43.056003+03:00,2021-05-26,57,OZON.ru,ozon ru,OZON,OZON,ОНЕЙ БАНК,оней банк,2021-04-13,2021-05-26,2021-05-27,2021-04-13,09:30,23:34,8.8,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,GOODS.RU (Маркетплейс),28.01.2021,13:25,15.04.2021,12:52,Завершена,"468,00","85,00%",Поглощение,Рыночная,Вертикальная,Внутренняя,4.2021,,1.2021,15.04.2021,02.03.2021,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.690788,,3.631472,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-01-28,13:25,2021-04-15,2021-03-02,0.0,2021-01-28,2021-01-28T13:15:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.058115+03:00,2021-04-15,58,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,GOODS.RU (Маркетплейс),goods ru маркетплейс,2021-01-28,2021-04-15,2021-04-15,2021-03-02,13:25,12:52,468.0,85.0,Завершена,Поглощение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Movika,08.06.2021,,02.04.2021,15:18,Завершена,,"57,92%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2021,,3.2021,23.04.2021,08.06.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.690788,,3.631472,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-08,,2021-04-23,2021-06-08,0.0,2021-06-08,2021-06-08T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.068712+03:00,2021-04-02,59,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Movika,movika,2021-06-08,2021-04-02,2021-04-23,2021-06-08,,15:18,,57.92,Завершена,Покупка,Рыночная,Вертикальная
Яндекс,YDEX,еКредит,09.04.2021,12:27,18.05.2021,,Завершена,,"25,00%",Участие,Рыночная,Вертикальная,Внутренняя,4.2021,,,09.04.2021,08.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-09,12:27,2021-04-09,2021-06-08,0.0,2021-04-09,2021-04-09T12:15:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.071805+03:00,2021-05-18,60,Яндекс,яндекс,YDEX,YDEX,еКредит,екредит,2021-04-09,2021-05-18,2021-04-09,2021-06-08,12:27,,,25.0,Завершена,Участие,Рыночная,Вертикальная
Яндекс,YDEX,Чаевые просто,27.04.2021,,27.04.2021,21:24,Завершена,"1,00—5,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,4.2021,,,27.04.2021,27.04.2021,Телекоммуникации,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-27,,2021-04-27,2021-04-27,0.0,2021-04-27,2021-04-27T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.073899+03:00,2021-04-27,61,Яндекс,яндекс,YDEX,YDEX,Чаевые просто,чаевые просто,2021-04-27,2021-04-27,2021-04-27,2021-04-27,,21:24,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Банк Восточный (Восточный экспресс банк),26.03.2021,,12.04.2021,04:37,Завершена,"111,90","88,00%",Поглощение,Рыночная,Горизонтальная,Внутренняя,4.2021,,3.2021,08.04.2021,26.03.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-03-26,,2021-04-08,2021-03-26,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.075873+03:00,2021-04-12,62,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Банк Восточный (Восточный экспресс банк),банк восточный восточный экспресс банк,2021-03-26,2021-04-12,2021-04-08,2021-03-26,,04:37,111.9,88.0,Завершена,Поглощение,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,СПБ Биржа (Санкт-Петербургская биржа),23.03.2020,10:46,19.04.2021,,Завершена,,"12,93%",Участие,Рыночная,Параллельная,Внутренняя,4.2021,,,16.04.2021,08.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-03-23,10:46,2021-04-16,2021-06-08,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.076597+03:00,2021-04-19,63,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,СПБ Биржа (Санкт-Петербургская биржа),спб биржа санкт петербургская биржа,2020-03-23,2021-04-19,2021-04-16,2021-06-08,10:46,,,12.93,Завершена,Участие,Рыночная,Параллельная
Т-банк (Тинькофф),T,Кошелек / CardsMobile (ООО Бесконтакт),29.04.2021,,29.04.2021,15:27,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2021,,,29.04.2021,29.04.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2021-04-29,,2021-04-29,2021-04-29,0.0,2021-04-29,2021-04-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.078634+03:00,2021-04-29,64,Т-банк (Тинькофф),т банк тинькофф,T,T,Кошелек / CardsMobile (ООО Бесконтакт),кошелек cardsmobile ооо бесконтакт,2021-04-29,2021-04-29,2021-04-29,2021-04-29,,15:27,,51.0,Завершена,Покупка,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,АО Электрозавод,28.12.2020,22:44,20.02.2021,09:02,Завершена,"64,50","22,48%",Консолидация,Рыночная,Круговая,Внутренняя,3.2021,,,02.03.2021,11.05.2021,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.482375,,4.014507,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-12-28,22:44,2021-03-02,2021-05-11,0.0,2020-12-28,2020-12-28T22:30:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.084828+03:00,2021-02-20,65,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,АО Электрозавод,ао электрозавод,2020-12-28,2021-02-20,2021-03-02,2021-05-11,22:44,09:02,64.5,22.48,Завершена,Консолидация,Рыночная,Круговая
Альфа-банк,ACBR,нетмонет,15.02.2021,,09.03.2021,13:05,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,3.2021,,,11.03.2021,06.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2021-02-15,,2021-03-11,2021-04-06,,,,,3.12.9,2026-03-29T18:04:43.087931+03:00,2021-03-09,66,Альфа-банк,альфа банк,ACBR,ACBR,нетмонет,нетмонет,2021-02-15,2021-03-09,2021-03-11,2021-04-06,,13:05,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Еаптека,22.10.2020,19:33,10.02.2021,,Завершена,"77,20","45,00%",Влияние,Рыночная,Круговая,Внутренняя,2.2021,,10.202,11.02.2021,22.11.2020,Химия / Фармацевтика,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.653301,,3.584771,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-22,19:33,2021-02-11,2020-11-22,0.0,2020-10-22,2020-10-22T19:30:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.088606+03:00,2021-02-10,67,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Еаптека,еаптека,2020-10-22,2021-02-10,2021-02-11,2020-11-22,19:33,,77.2,45.0,Завершена,Влияние,Рыночная,Круговая
Сбер (Сбербанк),SBER,Ё-инжиниринг,03.03.2021,,16.02.2021,15:09,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,2.2021,,,16.02.2021,03.03.2021,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.653301,,3.584771,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-03-03,,2021-02-16,2021-03-03,0.0,2021-03-03,2021-03-03T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.091001+03:00,2021-02-16,68,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Ё-инжиниринг,е инжиниринг,2021-03-03,2021-02-16,2021-02-16,2021-03-03,,15:09,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Wildberries,,Банк Стандарт-Кредит,11.12.2020,00:20,12.02.2021,12:21,Завершена,"4,90","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2021,12.202,,12.02.2021,13.01.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Услуги / торговля,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,,,,,,0,2020-12-11,00:20,2021-02-12,2021-01-13,,,,,3.12.9,2026-03-29T18:04:43.094470+03:00,2021-02-12,69,Wildberries,wildberries,,,Банк Стандарт-Кредит,банк стандарт кредит,2020-12-11,2021-02-12,2021-02-12,2021-01-13,00:20,12:21,4.9,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Страхования компания МетЛайф,02.12.2020,13:38,19.01.2021,,Завершена,"52,40","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,1.2021,,12.202,04.01.2021,04.12.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-12-02,13:38,2021-01-04,2020-12-04,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.096349+03:00,2021-01-19,70,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Страхования компания МетЛайф,страхования компания метлайф,2020-12-02,2021-01-19,2021-01-04,2020-12-04,13:38,,52.4,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Сбер (Сбербанк),SBER,Ситилинк,11.01.2021,11:59,05.05.2021,,Переговоры,"1 000,00","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,12.202,,11.01.2021,12.01.2021,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.535438,,3.878058,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-01-11,11:59,2021-01-11,2021-01-12,0.0,2021-01-11,2021-01-11T11:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.098874+03:00,2021-05-05,71,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Ситилинк,ситилинк,2021-01-11,2021-05-05,2021-01-11,2021-01-12,11:59,,1000.0,100.0,Переговоры,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Эвотор,23.12.2020,,23.12.2020,09:54,Завершена,"27,87","29,00%",Консолидация,Рыночная,Круговая,Внутренняя,12.202,,,23.12.2020,23.12.2020,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.535438,,3.878058,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-12-23,,2020-12-23,2020-12-23,0.0,2020-12-23,2020-12-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.103234+03:00,2020-12-23,72,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Эвотор,эвотор,2020-12-23,2020-12-23,2020-12-23,2020-12-23,,09:54,27.87,29.0,Завершена,Консолидация,Рыночная,Круговая
ПАО Совкомбанк,SVCB,Евразийский банк (Россия),04.12.2020,11:34,31.12.2020,15:46,Завершена,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,12.202,,,04.12.2020,04.12.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-12-04,11:34,2020-12-04,2020-12-04,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.105343+03:00,2020-12-31,73,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Евразийский банк (Россия),евразийский банк россия,2020-12-04,2020-12-31,2020-12-04,2020-12-04,11:34,15:46,,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Rambler,30.10.2020,,29.10.2020,21:21,Завершена,"137,00","45,00%",Консолидация,Рыночная,Круговая,Внутренняя,10.202,,,30.10.2020,30.10.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.094141,,2.714557,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-30,,2020-10-30,2020-10-30,0.0,2020-10-30,2020-10-30T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.106074+03:00,2020-10-29,74,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Rambler,rambler,2020-10-30,2020-10-29,2020-10-30,2020-10-30,,21:21,137.0,45.0,Завершена,Консолидация,Рыночная,Круговая
Сбер (Сбербанк),SBER,Евроцемент групп,29.10.2020,,29.10.2020,18:31,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.202,,,01.10.2020,29.10.2020,Строительство,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.094141,,2.714557,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-29,,2020-10-01,2020-10-29,0.0,2020-10-29,2020-10-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.108351+03:00,2020-10-29,75,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Евроцемент групп,евроцемент групп,2020-10-29,2020-10-29,2020-10-01,2020-10-29,,18:31,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
ПАО Совкомбанк,SVCB,Сеть постаматов ЦТБ,12.10.2020,09:07,,,Оформление,,"50,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,10.202,12.10.2020,12.10.2020,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-10-12,09:07,2020-10-12,2020-10-12,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.116848+03:00,,76,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Сеть постаматов ЦТБ,сеть постаматов цтб,2020-10-12,,2020-10-12,2020-10-12,09:07,,,50.0,Оформление,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Звук / Zvooq,24.09.2020,,23.09.2020,13:58,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,9.202,,,24.09.2020,24.09.2020,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.996874,,2.875348,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-09-24,,2020-09-24,2020-09-24,0.0,2020-09-24,2020-09-24T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.117686+03:00,2020-09-23,77,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Звук / Zvooq,звук zvooq,2020-09-24,2020-09-23,2020-09-24,2020-09-24,,13:58,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Яндекс,YDEX,Т-банк (Тинькофф),22.09.2020,19:50,16.10.2020,13:27,Отменена,"5 480,00","100,00%",Слияние активов,Рыночная,Вертикальная,Внутренняя,,9.202,,19.10.2020,24.09.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2020-09-22,19:50,2020-10-19,2020-09-24,0.0,2020-09-22,2020-09-22T19:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.119892+03:00,2020-10-16,78,Яндекс,яндекс,YDEX,YDEX,Т-банк (Тинькофф),т банк тинькофф,2020-09-22,2020-10-16,2020-10-19,2020-09-24,19:50,13:27,5480.0,100.0,Отменена,Слияние активов,Рыночная,Вертикальная
