Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Ренессанс Капитал,RENI,Ситибанк,14.06.2022,,18.02.2026,17:09,Оформление,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,5.2022,11.2025,12.11.2025,14.06.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.627154,,0.636662,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,RENI,Ренессанс Страхование,TQBR,a57d3a52-63d5-417b-b66d-c6114587f0ea,BBG00QKJSX05,0,2022-06-14,,2025-11-12,2022-06-14,0.0,2022-06-14,2022-06-14T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.004495+03:00,2026-02-18,34,Ренессанс Капитал,ренессанс капитал,RENI,RENI,Ситибанк,ситибанк,2022-06-14,2026-02-18,2025-11-12,2022-06-14,,17:09,,100.0,Оформление,Полное приобретение,Рыночная,Горизонтальная
Т-банк (Тинькофф),T,БАНКОМ,05.04.2022,,05.04.2022,,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2022,,,05.04.2022,05.04.2022,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-04-05,,2022-04-05,2022-04-05,0.0,2022-04-05,2022-04-05T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.006754+03:00,2022-04-05,35,Т-банк (Тинькофф),т банк тинькофф,T,T,БАНКОМ,банком,2022-04-05,2022-04-05,2022-04-05,2022-04-05,,,,51.0,Завершена,Покупка,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Витабанк,13.01.2026,10:22,21.02.2022,,Завершена,,"31,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2022,,,22.02.2022,18.05.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2026-01-13,10:22,2022-02-22,2022-05-18,0.0,2026-01-13,2026-01-13T10:15:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.008702+03:00,2022-02-21,36,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Витабанк,витабанк,2026-01-13,2022-02-21,2022-02-22,2022-05-18,10:22,,,31.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Узагроэкспортбанк,23.02.2022,20:49,17.06.2022,09:01,Отменена,"4,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,,,2.2022,27.06.2022,29.11.2021,Финансы / Инвестиции / Страхование / Консалтинг,Узбекистан,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-02-23,20:49,2022-06-27,2021-11-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.010507+03:00,2022-06-17,37,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Узагроэкспортбанк,узагроэкспортбанк,2022-02-23,2022-06-17,2022-06-27,2021-11-29,20:49,09:01,4.0,100.0,Отменена,Полное приобретение,Рыночная,Горизонтальная
Промсвязьбанк (ПСБ),PSBR,НПФ Гефест,03.02.2022,08:22,18.02.2022,13:41,Завершена,"5,23—7,84","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,2.2022,,,03.02.2022,13.04.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2022-02-03,08:22,2022-02-03,2022-04-13,,,,,3.12.9,2026-03-29T18:04:43.013554+03:00,2022-02-18,38,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,НПФ Гефест,нпф гефест,2022-02-03,2022-02-18,2022-02-03,2022-04-13,08:22,13:41,,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Сбер (Сбербанк),SBER,Стокманн Россия,26.01.2022,13:10,11.05.2022,06:52,Отменена,"12,90—19,40","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,,1.2022,12.05.2022,26.01.2022,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.388006,,3.900429,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2022-01-26,13:10,2022-05-12,2022-01-26,0.0,2022-01-26,2022-01-26T13:00:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.015473+03:00,2022-05-11,39,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Стокманн Россия,стокманн россия,2022-01-26,2022-05-11,2022-05-12,2022-01-26,13:10,06:52,,100.0,Отменена,Полное приобретение,Рыночная,Круговая
Альфа-банк,ACBR,Франсабанк,17.12.2021,14:02,29.12.2021,14:01,Завершена,"10,90","99,98%",Поглощение,Рыночная,Горизонтальная,Импортная,12.2021,,,29.12.2021,30.12.2021,Финансы / Инвестиции / Страхование / Консалтинг,Беларусь,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2021-12-17,14:02,2021-12-29,2021-12-30,,,,,3.12.9,2026-03-29T18:04:43.020444+03:00,2021-12-29,40,Альфа-банк,альфа банк,ACBR,ACBR,Франсабанк,франсабанк,2021-12-17,2021-12-29,2021-12-29,2021-12-30,14:02,14:01,10.9,99.98,Завершена,Поглощение,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,Страховая компания Согласие,16.01.2022,,,,Переговоры,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,12.2021,,23.12.2021,16.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-16,,2021-12-23,2022-01-16,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.021293+03:00,,41,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Страховая компания Согласие,страховая компания согласие,2022-01-16,,2021-12-23,2022-01-16,,,,100.0,Переговоры,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,FuelUp,23.11.2021,,22.11.2021,19:21,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,11.2021,,,22.11.2021,23.11.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.639261,,4.943154,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-11-23,,2021-11-22,2021-11-23,0.0,2021-11-23,2021-11-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.021981+03:00,2021-11-22,42,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,FuelUp,fuelup,2021-11-23,2021-11-22,2021-11-22,2021-11-23,,19:21,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Т-банк (Тинькофф),T,Jump.Finance,10.01.2022,,26.11.2021,12:50,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,11.2021,,,26.11.2021,10.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-01-10,,2021-11-26,2022-01-10,0.0,2022-01-10,2022-01-10T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.025057+03:00,2021-11-26,43,Т-банк (Тинькофф),т банк тинькофф,T,T,Jump.Finance,jump finance,2022-01-10,2021-11-26,2021-11-26,2022-01-10,,12:50,,51.0,Завершена,Покупка,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Best2pay,10.01.2022,,29.11.2021,22:54,Завершена,"44,90","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,10.2021,,,30.10.2021,10.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-10,,2021-10-30,2022-01-10,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.027581+03:00,2021-11-29,44,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Best2pay,best2pay,2022-01-10,2021-11-29,2021-10-30,2022-01-10,,22:54,44.9,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
