source_row_excel,Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Дата создания,DAYS_CREATE_TO_ANNOUNCEMENT,CAR_ANN_1_1,CAR_CREATE_1_1,CAR_ANN_3_3,CAR_CREATE_3_3,CAR_ANN_5_5,CAR_CREATE_5_5,CAR_ANN_10_10,CAR_CREATE_10_10,BHAR_ANN_60,BHAR_CREATE_60,BHAR_ANN_120,BHAR_CREATE_120,BHAR_ANN_250,BHAR_CREATE_250,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,DIFF_CREATE_MINUS_ANN_1_1,DIFF_CREATE_MINUS_ANN_3_3,DIFF_CREATE_MINUS_ANN_5_5,DIFF_CREATE_MINUS_ANN_10_10,DIFF_BHAR_CREATE_MINUS_ANN_120
23,ПАО Совкомбанк,SVCB,Абсолют Страхование,24.09.2024,30.10.2024,-36,-0.0314306303463197,0.009222689879191,-0.04754990559185,-0.0048733803178041,-0.05075850017512,-0.0014423532283007,-0.0837756803775158,-0.019731137725047,,,,,,,-0.0280162997168469,-0.0333304666377702,0.0406533202255107,0.042676525274045904,0.0493161469468193,0.0640445426524688,
24,Т-банк (Тинькофф),T,Росбанк,23.04.2024,21.03.2025,-332,0.0120310628528782,0.0087194089699004,0.017710865359025,0.0446372546141906,-0.0083026367614023,0.0263675458644832,-0.0141831172373256,0.0442544600639148,,,,,,,-0.0397636432215742,-0.04434035443522,-0.0033116538829778015,0.026926389255165602,0.0346701826258855,0.0584375773012404,
25,Яндекс,YDEX,еКредит,03.06.2024,08.06.2021,1091,0.0381821537750856,0.0196745178398215,0.0485125299429805,0.0160981826594625,0.0055761290361556,0.0096762414914171,-0.025543668703464,0.0239489925871982,,,,,,,-0.0410710495565796,-0.0474640898999146,-0.018507635935264104,-0.032414347283518,0.0041001124552615,0.049492661290662196,
26,Т-банк (Тинькофф),T,ROWI,11.06.2024,11.06.2024,0,-0.0101443956428391,-0.0101443956428391,0.0005606354648822,0.0005606354648822,0.0219196452001263,0.0219196452001263,0.0931077916061667,0.0931077916061667,,,,,,,-0.0036879351010081,0.0038359048333329,0.0,0.0,0.0,0.0,
27,Сбер (Сбербанк),SBER,Аэропорт Горно-Алтайск,17.07.2024,17.07.2024,0,-0.0020518517852059,-0.0020518517852059,-0.0155936319825945,-0.0155936319825945,-0.0853325690953383,-0.0853325690953383,-0.0750794350842263,-0.0750794350842263,,,,,,,0.053478952596707,-0.0568372609868532,0.0,0.0,0.0,0.0,
28,ПАО Совкомбанк,SVCB,Инлайф Страхование (Страховая компания Уралсиб),07.09.2023,16.08.2016,2578,,,,,,,,,,,,,,,,,,,,,
29,Альфа-банк,ACBR,Дойче Лизинг Восток,12.05.2023,12.05.2023,0,,,,,,,,,,,,,,,,,,,,,
30,ПАО Совкомбанк,SVCB,В2СPL (B2C платежи и логистика),14.06.2023,14.06.2023,0,,,,,,,,,,,,,,,,,,,,,
31,Т-банк (Тинькофф),T,CloudPayments,12.10.2017,13.10.2017,-1,,,,,,,,,,,,,,,,,,,,,
32,Промсвязьбанк (ПСБ),PSBR,Банк Северный морской путь (СМП банк),13.12.2022,23.06.2022,173,,,,,,,,,,,,,,,,,,,,,
