source_row_excel,table_role,mapping_status,panel_key_count
78,actualization_daily,certain,1
79,actualization_daily,certain,1
80,actualization_daily,certain,1
81,actualization_daily,certain,1
82,actualization_daily,certain,1
83,actualization_daily,certain,1
84,actualization_daily,certain,1
90,actualization_daily,certain,1
91,actualization_daily,certain,1
92,actualization_daily,certain,1
93,actualization_daily,certain,1
95,actualization_daily,certain,1
96,actualization_daily,certain,1
97,actualization_daily,certain,1
99,actualization_daily,certain,1
100,actualization_daily,certain,1
109,actualization_daily,certain,1
111,actualization_daily,certain,1
112,actualization_daily,certain,1
115,actualization_daily,certain,1
116,actualization_daily,certain,1
117,actualization_daily,certain,1
118,actualization_daily,certain,1
119,actualization_daily,certain,1
120,actualization_daily,certain,1
121,actualization_daily,certain,1
123,actualization_daily,certain,1
130,actualization_daily,certain,1
138,actualization_daily,certain,1
142,actualization_daily,certain,1
143,actualization_daily,certain,1
145,actualization_daily,certain,1
146,actualization_daily,certain,1
147,actualization_daily,certain,1
149,actualization_daily,certain,1
150,actualization_daily,certain,1
151,actualization_daily,certain,1
153,actualization_daily,certain,1
154,actualization_daily,certain,1
155,actualization_daily,certain,1
156,actualization_daily,certain,1
157,actualization_daily,certain,1
158,actualization_daily,certain,1
160,actualization_daily,certain,1
161,actualization_daily,certain,1
162,actualization_daily,certain,1
163,actualization_daily,certain,1
167,actualization_daily,certain,1
169,actualization_daily,certain,1
170,actualization_daily,certain,1
171,actualization_daily,certain,1
172,actualization_daily,certain,1
174,actualization_daily,certain,1
175,actualization_daily,certain,1
176,actualization_daily,certain,1
177,actualization_daily,certain,1
178,actualization_daily,certain,1
181,actualization_daily,certain,1
182,actualization_daily,certain,1
183,actualization_daily,certain,1
184,actualization_daily,certain,1
185,actualization_daily,certain,1
186,actualization_daily,certain,1
187,actualization_daily,certain,1
188,actualization_daily,certain,1
189,actualization_daily,certain,1
191,actualization_daily,certain,1
192,actualization_daily,certain,1
193,actualization_daily,certain,1
194,actualization_daily,certain,1
198,actualization_daily,certain,1
199,actualization_daily,certain,1
200,actualization_daily,certain,1
201,actualization_daily,certain,1
202,actualization_daily,certain,1
203,actualization_daily,certain,1
204,actualization_daily,certain,1
205,actualization_daily,certain,1
206,actualization_daily,certain,1
207,actualization_daily,certain,1
2,create_daily,certain,1
4,create_daily,certain,1
5,create_daily,certain,1
6,create_daily,certain,1
7,create_daily,certain,1
8,create_daily,certain,1
9,create_daily,certain,1
10,create_daily,certain,1
15,create_daily,certain,1
16,create_daily,certain,1
17,create_daily,certain,1
18,create_daily,certain,1
19,create_daily,certain,1
20,create_daily,certain,1
23,create_daily,certain,1
24,create_daily,certain,1
25,create_daily,certain,1
26,create_daily,certain,1
27,create_daily,certain,1
30,create_daily,certain,1
33,create_daily,certain,1
34,create_daily,certain,1
35,create_daily,certain,1
39,create_daily,certain,1
42,create_daily,certain,1
43,create_daily,certain,1
45,create_daily,certain,1
48,create_daily,certain,1
49,create_daily,certain,1
50,create_daily,certain,1
51,create_daily,certain,1
53,create_daily,certain,1
54,create_daily,certain,1
57,create_daily,certain,1
58,create_daily,certain,1
59,create_daily,certain,1
60,create_daily,certain,1
61,create_daily,certain,1
64,create_daily,certain,1
65,create_daily,certain,1
67,create_daily,certain,1
68,create_daily,certain,1
71,create_daily,certain,1
72,create_daily,certain,1
74,create_daily,certain,1
75,create_daily,certain,1
77,create_daily,certain,1
78,create_daily,certain,1
79,create_daily,certain,1
80,create_daily,certain,1
81,create_daily,certain,1
82,create_daily,certain,1
83,create_daily,certain,1
84,create_daily,certain,1
91,create_daily,certain,1
92,create_daily,certain,1
93,create_daily,certain,1
95,create_daily,certain,1
96,create_daily,certain,1
