metric,n,mean,median,std,min,max
CAR_ANN_INTRADAY_15M,61,0.0011997279948581566,0.00010322008830138119,0.006146008555622823,-0.010574321718099793,0.0362517880771814
CAR_ANN_INTRADAY_30M,61,-9.566207374977578e-05,0.00023367817255554821,0.0073791194167782456,-0.024513593564898378,0.02739300227640433
CAR_ANN_INTRADAY_1H,61,0.0004584012071024731,-0.00015365379334496884,0.007309138163196068,-0.024351556334616737,0.017251918262236536
CAR_ANN_INTRADAY_3H,61,0.0003559423720667383,0.00041414087961263703,0.013985844128290945,-0.042430764644114924,0.061665080477309384
CAR_ANN_INTRADAY_FULL,61,0.004379907928898975,0.004567992705071912,0.04492360948754695,-0.10707671479202835,0.15111303956942132
CAR_ANN_INTRADAY_TO_CLOSE,61,0.0021935317555434332,0.0006039455622826873,0.02542904183886424,-0.05843128444713655,0.11792952186268625
CAR_ANN_NEXT_OPEN_1H,61,-0.0008937873069912753,-0.0011100619730524904,0.0073371270778003275,-0.028912298983869766,0.026689750777415245
CAR_ANN_NEXT_DAY,61,0.002120267944568103,0.003933654681129604,0.023490178315735494,-0.05740627791566398,0.06906627810122822
ratio_1h_vs_day,61,17.966300358667567,8.819130144622921,121.71198594143908,-144.48301205441055,622.0153206002653
CAR_ANN_1_1,125,0.00035624323906996213,0.0017347096943052254,0.03605590663396419,-0.10444911128713796,0.10152252320621358
CAR_ANN_3_3,125,-0.0015159664725952254,-0.0030768025617288197,0.054799185350131174,-0.12210310274145741,0.1787505468142071
CAR_ANN_5_5,125,0.005570799893693436,-0.0026595101676666344,0.0685282989453739,-0.14969124396959266,0.29844789608672817
CAR_ANN_10_10,125,0.011413889190325271,0.016622761087618287,0.09048337220893307,-0.37961720081322126,0.2197523099509714
BHAR_ANN_60,30,0.09753266661330695,0.03554055337672213,0.23286807298594842,-0.433768397667315,0.43829034357520724
CAR_CLOSE_1_1,96,-0.0009259959478472051,-0.000663346225892758,0.029883372215020364,-0.0904645956360296,0.07815541631816372
CAR_CLOSE_3_3,96,0.0023813997925579504,0.0018634010785496037,0.05606974890765763,-0.1539596832972503,0.1285087530406699
CAR_CLOSE_5_5,96,0.011409536655311872,0.008978825756346676,0.06390773742077208,-0.16024027135145746,0.29844789608672817
CAR_CLOSE_10_10,95,0.0049844696497696895,0.010428137330143805,0.10364700089981434,-0.37961720081322126,0.3774921013880268
BHAR_CLOSE_60,17,0.024447904275513473,0.034874245853206975,0.16322721417930663,-0.433768397667315,0.4080081424909723
BHAR_CLOSE_120,6,0.14446435076586597,0.10584456228200934,0.16662146902302105,0.0010908502607436255,0.4687475454211276
RUNUP_PRE_30_5,124,0.018075594691668428,0.01765002735433061,0.09633877717722504,-0.2209056424683098,0.23218815888977096
CAR_PRE_ANNOUNCEMENT,124,0.022940052619101054,0.02064875502047747,0.09716245359691413,-0.22732024474137813,0.2662848034600641
CAR_CREATE_1_1,124,0.002173359413271701,0.0037749083944512707,0.03731927598461233,-0.10444911128713796,0.08250685134647584
CAR_CREATE_3_3,124,0.0031971993750587787,0.0044574742370631385,0.054056335129649226,-0.12210310274145741,0.10887862778291724
CAR_ACT_1_1,126,-0.0011996239147825263,-0.0006057405594949716,0.03930384389704746,-0.10444911128713796,0.08239107533804257
CAR_ACT_3_3,126,-0.001429053484884809,0.004428975769990795,0.06353852713077812,-0.25969414699736315,0.1285087530406699
