metric_label,announcement_metric,create_metric,n,mean_announcement,mean_create,mean_diff_create_minus_announcement,median_diff_create_minus_announcement,mean_abs_diff_create_minus_announcement,share_create_greater,share_abs_create_greater,paired_t_stat,paired_t_p_value,wilcoxon_p_value
CAR (-1;+1),CAR_ANN_1_1,CAR_CREATE_1_1,124,0.0003294682007032096,0.0021733594132717004,0.0018438912125684917,0.0,0.0005797245980594476,0.1935483870967742,0.1774193548387097,0.6640225267937507,0.5079187070793544,0.30106151267864334
CAR (-3;+3),CAR_ANN_3_3,CAR_CREATE_3_3,124,-0.0015952916759033977,0.0031971993750587774,0.004792491050962174,0.0,-0.00040026913344339454,0.18548387096774194,0.14516129032258066,1.3182514397233496,0.1898690999541339,0.19685455255421402
CAR (-5;+5),CAR_ANN_5_5,CAR_CREATE_5_5,124,0.005514212831247285,0.010081026035721074,0.004566813204473785,0.0,-0.00010502457368818812,0.20967741935483872,0.1935483870967742,1.0908929914411856,0.27745235697845166,0.18761708125202858
CAR (-10;+10),CAR_ANN_10_10,CAR_CREATE_10_10,124,0.011331959038757803,0.014639333464625615,0.0033073744258678107,0.0,0.0017783164536525529,0.1774193548387097,0.1532258064516129,0.7317352667006797,0.4657220309231935,0.42021225081225566
BHAR (60),BHAR_ANN_60,BHAR_CREATE_60,21,-0.011696304870401467,-0.013136483956241205,-0.0014401790858397385,0.0,-0.002855124911595137,0.14285714285714285,0.09523809523809523,-0.3456148124597409,0.733241005985824,
BHAR (120),BHAR_ANN_120,BHAR_CREATE_120,0,,,,,,,,,,
BHAR (250),BHAR_ANN_250,BHAR_CREATE_250,0,,,,,,,,,,
