category,message,table_role,source_row_excel
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,145.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,145.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,146.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,146.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,146.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,146.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,147.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,147.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,147.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,147.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,149.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,149.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,149.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,149.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,151.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,151.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,151.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,151.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,154.0
insufficient_bhar_data,T=60: short_post_window,daily_bhar,154.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,154.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,154.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,155.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,155.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,155.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,155.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,156.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,156.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,156.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,156.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,157.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,157.0
