source_row_excel,buyer_ticker,buyer_company,deal_object,event_name,release_date,release_time,is_off_market_release,anchor_trade_date,anchor_timestamp_msk,trade_day_offset,timestamp_msk,price_at_timestamp_rub,volume_during_timestamp_plus_15m_mn_rub
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T06:45:00+03:00,304.8,0.7656575999999999
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T07:00:00+03:00,304.7,55.048521345
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T07:15:00+03:00,304.88,12.37904502
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T07:30:00+03:00,304.72,18.961146000000003
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T07:45:00+03:00,304.19,43.904174174999994
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T08:00:00+03:00,303.94,19.544667675
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T08:15:00+03:00,304.3,6.922320075
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T08:30:00+03:00,304.55,21.4525414
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T08:45:00+03:00,304.1,26.932185000000004
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T09:00:00+03:00,303.98,67.45892496500001
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T09:15:00+03:00,303.92,90.84972909999999
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T09:30:00+03:00,303.56,37.96973573249999
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T09:45:00+03:00,303.63,29.1308715425
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T10:00:00+03:00,303.7,131.5524966625
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T10:15:00+03:00,303.1,235.00776929999998
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T10:30:00+03:00,303.09,130.40444326
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T10:45:00+03:00,302.67,210.482676495
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T11:00:00+03:00,302.38,97.9997862375
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T11:15:00+03:00,302.25,178.248765475
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T11:30:00+03:00,302.91,105.78115269
2,SBER,Сбер (Сбербанк),Группа компаний Элемент,first_press_release,2025-09-19,10:11,0,2025-09-19,2025-09-19T10:00:00+03:00,-1,2025-09-18T11:45:00+03:00,302.78,174.63873609
