Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts
Промсвязьбанк (ПСБ),PSBR,М.Видео (М.Видео-Эльдорадо),27.01.2025,22:35,,,Переговоры,"195,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,1.2025,,28.01.2025,30.04.2022,Услуги / торговля,"Россия (СЗФО, ЦФО, ЮФО, УФО, СФО, ПФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2025-01-27,22:35,2025-01-28,2022-04-30,,,,,3.12.9,2026-03-22T00:38:56.058043+03:00
Альфа-банк,ACBR,КАРО ФИЛЬМ Севастопольский,28.12.2024,,,,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2024,,,28.12.2024,28.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-12-28,,2024-12-28,2024-12-28,,,,,3.12.9,2026-03-22T00:38:56.060889+03:00
Альфа-банк,ACBR,Кинотеатр Россия (Москва),28.12.2024,,,,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2024,,,28.12.2024,28.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-12-28,,2024-12-28,2024-12-28,,,,,3.12.9,2026-03-22T00:38:56.062671+03:00
Т-банк (Тинькофф),T,AnyQuery,24.11.2022,,13.12.2024,10:00,Оформление,,"18,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,12.2024,13.12.2024,24.11.2022,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-11-24,,2024-12-13,2022-11-24,0,2022-11-24,2022-11-24T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.063960+03:00
Яндекс,YDEX,NewPay,24.12.2024,,29.11.2024,10:09,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,11.2024,,,29.11.2024,24.12.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2024-12-24,,2024-11-29,2024-12-24,0,2024-12-24,2024-12-24T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.099780+03:00
ПАО Совкомбанк,SVCB,Рокет (Рокетбанк),23.01.2025,,15.11.2024,01:27,Завершена,"1,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,11.2024,,,15.11.2024,23.01.2025,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, УФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2025-01-23,,2024-11-15,2025-01-23,0,2025-01-23,2025-01-23T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.103182+03:00
Сбер (Сбербанк),SBER,Алгоритмика,26.12.2024,,21.10.2024,20:30,Завершена,"10,40—15,60","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.2024,,,22.10.2024,26.12.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2024-12-26,,2024-10-22,2024-12-26,0,2024-12-26,2024-12-26T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.107280+03:00
Сбер (Сбербанк),SBER,Нетология-групп (ТТ-Холдинг),02.07.2024,,17.10.2024,09:36,Завершена,"41,00—62,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,10.2024,,4.2024,17.10.2024,02.07.2024,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2024-07-02,,2024-10-17,2024-07-02,0,2024-07-02,2024-07-02T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.111004+03:00
Сбер (Сбербанк),SBER,СДМ ТК-2,18.03.2025,,24.10.2024,09:05,Завершена,"62,00—93,00","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.2024,,,31.10.2024,18.03.2025,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2025-03-18,,2024-10-31,2025-03-18,0,2025-03-18,2025-03-18T06:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.113998+03:00
Промсвязьбанк (ПСБ),PSBR,CarMoney (Смарттехгрупп),16.09.2024,15:41,,,Завершена,,"24,00%",Участие,Рыночная,Параллельная,Внутренняя,10.2024,,,01.10.2024,26.02.2025,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2024-09-16,15:41,2024-10-01,2025-02-26,,,,,3.12.9,2026-03-22T00:38:56.117428+03:00
Альфа-банк,ACBR,Rb.ru,29.10.2024,,16.09.2024,14:10,Завершена,,"73,00%",Покупка,Рыночная,Вертикальная,Внутренняя,9.2024,,,18.09.2024,29.10.2024,СМИ / Реклама / Спорт,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2024-10-29,,2024-09-18,2024-10-29,,,,,3.12.9,2026-03-22T00:38:56.119447+03:00
ПАО Совкомбанк,SVCB,Абсолют Страхование,24.09.2024,13:38,,,Переговоры,"107,60","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,,9.2024,,25.09.2024,30.10.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2024-09-24,13:38,2024-09-25,2024-10-30,0,2024-09-24,2024-09-24T13:30:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.122265+03:00
Т-банк (Тинькофф),T,Росбанк,23.04.2024,,,,Завершена,"1 365,00","52,40%",Консолидация,Рыночная,Горизонтальная,Внутренняя,8.2024,,,31.08.2024,21.03.2025,Финансы / Инвестиции / Страхование / Консалтинг,"Россия, Франция",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-04-23,,2024-08-31,2025-03-21,0,2024-04-23,2024-04-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.126076+03:00
Яндекс,YDEX,еКредит,03.06.2024,,,,Завершена,"9,50","75,00%",Участие,Рыночная,Вертикальная,Внутренняя,6.2024,,,04.06.2024,08.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2024-06-03,,2024-06-04,2021-06-08,0,2024-06-03,2024-06-03T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.129156+03:00
Т-банк (Тинькофф),T,ROWI,11.06.2024,,11.06.2024,16:34,Завершена,"90,00","51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,6.2024,,6.2024,25.06.2024,11.06.2024,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2024-06-11,,2024-06-25,2024-06-11,0,2024-06-11,2024-06-11T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.131697+03:00
Сбер (Сбербанк),SBER,Аэропорт Горно-Алтайск,17.07.2024,,23.04.2024,14:49,Завершена,"25,95","60,00%",Консолидация,Рыночная,Круговая,Внутренняя,4.2024,,,25.04.2024,17.07.2024,Транспорт,Россия (СФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.232309,,3.291684,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2024-07-17,,2024-04-25,2024-07-17,0,2024-07-17,2024-07-17T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.134402+03:00
